,0,1
0,Jésus <—> Christ,0.8573256134986877
1,apôtre <—> prophète,0.7952103614807129
2,seigneur <—> Jésus,0.7477602362632751
3,continuellement <—> toutefois,0.7419577240943909
4,manger <—> boire,0.7355505228042603
5,Abraham <—> Isaac,0.7113884687423706
6,abraham <—> Isaac,0.7113884687423706
7,lignée <—> descendant,0.709862232208252
8,riche <—> abondant,0.7041982412338257
9,médire <—> mentir,0.6977360844612122
10,faire <—> pratiquer,0.6892088651657104
11,entendre <—> approuver,0.6546218991279602
12,Ephraïm <—> Manassé,0.6466282606124878
13,employer <—> maintenir,0.6454031467437744
14,devoir <—> entendre,0.6413508057594299
15,avoir <—> faire,0.6365060806274414
16,pauvre <—> pécheur,0.6348884105682373
17,sottise <—> ridicule,0.6335465908050537
18,vérité <—> Dieu,0.6289693117141724
19,bien <—> autant,0.6277421116828918
20,puissamment <—> compassion,0.6219993829727173
21,donner <—> entendre,0.6203507781028748
22,faire <—> profiter,0.6168359518051147
23,justifier <—> entendre,0.6071444749832153
24,bonté <—> Dieu,0.6015112400054932
25,jeter <—> être,0.5974200367927551
26,latin <—> grec,0.596470296382904
27,réciter <—> écriture,0.5911039113998413
28,pouvoir <—> amener,0.5884842872619629
29,faire <—> entrer,0.5851681232452393
30,promettre <—> vouloir,0.5807965993881226
31,lumière <—> éclaire,0.5762978792190552
32,Dieu <—> humilité,0.575724184513092
33,penser <—> faire,0.5744249224662781
34,compassion <—> captivité,0.5737171769142151
35,amener <—> devoir,0.5727038383483887
36,faillir <—> mentir,0.5700680613517761
37,foi <—> christ,0.5688917636871338
38,dire <—> être,0.559355616569519
39,prière <—> faire,0.5588032007217407
40,pouvoir <—> penser,0.5573824048042297
41,foi <—> Jésus,0.5551649928092957
42,gloire <—> immortel,0.552884578704834
43,devoir <—> écrire,0.5474179983139038
44,amener <—> avoir,0.5442699193954468
45,méchant <—> incrédule,0.5429168343544006
46,mentir <—> renvoyer,0.5331926345825195
47,chose <—> vérité,0.533049464225769
48,réjouir <—> soutenir,0.5320799946784973
49,gloire <—> Dieu,0.5316609740257263
50,bénir <—> sanctifier,0.5312457084655762
51,entendre <—> être,0.5310975909233093
52,promettre <—> donner,0.5290797352790833
53,pauvre <—> malheureux,0.526398241519928
54,mentir <—> voire,0.5236499309539795
55,prophète <—> martyr,0.5222818851470947
56,molester <—> donner,0.5221316814422607
57,montrer <—> avoir,0.5218618512153625
58,prier <—> Dieu,0.5207778811454773
59,mettre <—> pouvoir,0.5192219614982605
60,œuvre <—> faire,0.5166548490524292
61,penser <—> mériter,0.516063392162323
62,doctrine <—> évangile,0.515148937702179
63,méditer <—> continuellement,0.5113450884819031
64,montrer <—> donner,0.5111463069915771
65,apparence <—> extérieur,0.5111097097396851
66,autant <—> dire,0.5109086036682129
67,avoir <—> sentir,0.5107492804527283
68,réputer <—> conter,0.5102941393852234
69,Dieu <—> saint,0.5098295211791992
70,faire <—> sentir,0.5097730159759521
71,beaucoup <—> moindre,0.5097143054008484
72,docteur <—> ancien,0.507775604724884
73,agréable <—> bon,0.5046316385269165
74,Dieu <—> ange,0.503569483757019
75,adversaire <—> pouvoir,0.5023723244667053
