,0,1
0,Jésus <—> Christ,0.8573256134986877
1,considérer <—> reconnaître,0.8412081599235535
2,maintenir <—> conforter,0.815085232257843
3,prière <—> oraison,0.7677046656608582
4,miséricorde <—> Dieu,0.7584798336029053
5,seigneur <—> Jésus,0.7477602362632751
6,pleur <—> larme,0.7276301383972168
7,ignorance <—> imprudence,0.724906325340271
8,reconforter <—> soutenir,0.7184503674507141
9,arrogance <—> cruauté,0.6854287981987
10,venir <—> donner,0.6695557236671448
11,invoquer <—> implorer,0.6602195501327515
12,Dieu <—> père,0.6512517333030701
13,conscience <—> jugement,0.648914098739624
14,inique <—> calomniateur,0.6470928192138672
15,détruire <—> dissiper,0.6295981407165527
16,faute <—> offense,0.6208460330963135
17,combattre <—> contre,0.6197757124900818
18,espérance <—> promesse,0.6108444929122925
19,dûment <—> fidèlement,0.602638840675354
20,contraindre <—> contraire,0.6023722290992737
21,faire <—> mener,0.6019068360328674
22,penser <—> faire,0.5943020582199097
23,consolation <—> reconforter,0.5912933349609375
24,faire <—> obtenir,0.5786521434783936
25,peuple <—> Dieu,0.575692355632782
26,partialité <—> toutefois,0.5744231939315796
27,pouvoir <—> permettre,0.5707118511199951
28,peuple <—> Israël,0.5657886266708374
29,passer <—> être,0.5632426142692566
30,reconnaître <—> ignorance,0.5519900321960449
31,question <—> débattre,0.5501024723052979
32,chose <—> affection,0.5484851002693176
33,diable <—> contraire,0.5484744310379028
34,résister <—> arrêter,0.5448709726333618
35,troubler <—> grever,0.5426923632621765
36,pouvoir <—> devoir,0.5426869988441467
37,reconnaître <—> part,0.5413966774940491
38,vouloir <—> inciter,0.5386199355125427
39,toutefois <—> question,0.5374932289123535
40,pouvoir <—> empêcher,0.5369283556938171
41,cruauté <—> iniquité,0.5340977311134338
42,toutefois <—> contenir,0.5336294174194336
43,espérer <—> entendre,0.5321895480155945
44,implorer <—> miséricorde,0.5307326316833496
45,faction <—> part,0.528209924697876
46,inique <—> être,0.5267525911331177
47,expédier <—> pouvoir,0.5265049934387207
48,conduire <—> être,0.5259239673614502
49,génération <—> futur,0.5258032083511353
50,eglise <—> seigneur,0.5222138166427612
51,chercher <—> pouvoir,0.5169033408164978
52,inciter <—> émouvoir,0.5160520076751709
53,Prophète <—> miséricorde,0.5126209855079651
54,faire <—> reconnaître,0.5098438262939453
55,arrêter <—> batailler,0.5097615122795105
56,contraire <—> adversaire,0.5092849731445312
57,volonté <—> cogitation,0.5090667009353638
58,serviteur <—> manière,0.5086859464645386
59,manière <—> serviteur,0.5086859464645386
60,aviser <—> avoir,0.5084144473075867
61,remontrer <—> avoir,0.5079877376556396
62,manière <—> chose,0.5078878402709961
63,empêcher <—> crainte,0.5078396797180176
64,communiquer <—> donnion,0.5038655400276184
65,clémence <—> espérance,0.5031081438064575
66,entretenir <—> ensemble,0.5006674528121948
